Lon,Lat,Clave,Edo,Est,Tmed
-89.68,20.64,CHOYC,YUC,CHOCHOLA,22.2
-108.32,26.7,76311,SIN,CHOIX,21.1
-97.58,19.93,CHLPB,PUE,CHOLULA,14.2
-100.9,20.95,CSRGJ,GTO,CINCO SEÑORES,11.3
-100.95,29.32,CDACL,COAH,CIUDAD ACUÑA,9.7
-100.66,18.35,CALGR,GRO,CIUDAD ALTAMIRANO,26.1
-91.76,18.65,CARCA,CAMP,CIUDAD DEL CARMEN,23.1
-104.75,23.95,CGVDR,DGO,CIUDAD GUADALUPE VICTORIA,12.3
-103.46,19.73,76656,JAL,CIUDAD GUZMÁN,15.8
-103.52,25.53,CLRDR,DGO,CIUDAD LERDO,12.6
-99.92,22.58,CIUDADMANTE,TAMPS,CIUDAD MANTE,18.5
-109.93,27.5,COBSO,SON,CIUDAD OBREGON,20.4
-97.43,18.98,CDSPB,PUE,CIUDAD SERDAN,9.8
-99.18,23.73,CVTTP,TAMPS,CIUDAD VICTORIA GERENCIA,15.4
-99.16,23.71,CVCTP,TAMPS,CIUDAD VICTORIA OBSERVATORIO,14.1
-94.51,18.19,76741,VER,COATZACOALCOS,21.1
-94.4,18.1,COTVC,VER,COATZACOALCOS,21.1
-109.61,27.41,CCRSO,SON,COCORAQUE,18.6
-103.72,19.24,76658,COL,COLIMA,25.1
-92.13,16.23,76848,CHIS,COMITAN,15.9
-92.1,16.2,COOCP,CHIS,COMITAN OBSV.,16.3
-97.81,25.63,CONTP,TAMPS,CONTROL,14.6
-103.8,19.21,CQMCM,COL,COQUIMATLAN,25.5
-98.93,23.93,CORTP,TAMPS,CORONA,14.2
-100.95,20.48,CRTGJ,GTO,CORTAZAR,15.1
-102.3,22.36,CSOAG,AGS,COSIO,8.3
-103.46,25.54,CYTCL,COAH,COYOTE,14.9
-86.95,20.41,COZQR,QROO,COZUMEL,26.4
-92.14,16.72,CREDCOMITAN,CHIS,CRED COMITAN,15.8
-103.6,19.32,CUACM,COL,CUAHTEMOC,23.8
-98.41,16.47,CNLGR,GRO,CUAJINICUILAPA,26.7
-97.73,19.29,CUATL,TLAX,CUAPIAXTLA,10.8
-102.06,26.98,CCGCL,COAH,CUATRO CIENEGAS,12.0
-103.69,24.87,CNCDR,DGO,CUENCAME,14.6
-101.66,20.61,CRMGJ,GTO,CUERAMARO,15.6
-99.2,18.9,CUEMR,MOR,CUERNAVACA,17.6
-107.4,24.81,CLCSI,SIN,CULIACAN,20.2
-107.44,24.63,76412,SIN,CULIACÁN,20.1
-103.88,19.11,DJLCM,COL,DERIVADORA JALA,24.6
